Name,Type,Product,Activity,Database
SEMI_SH_PROPANE_MD,Operation,"transport, freight, lorry","transport, freight, lorry, compressed gas, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_SH_PROPANE_MD,Construction,truck,"lorry production, compressed gas, 26 metric ton","image, remind, message, tiam-ucl"
SMART_PROCESS,Construction,"chemical factory, organics","chemical factory construction, organics","image, remind, message, tiam-ucl"
SMART_PROCESS,Operation,styrene,"styrene production, from ethyl benzene, PO/SM process","image, remind, message, tiam-ucl"
SMR,Operation,"hydrogen, gaseous, low pressure","hydrogen production, steam methane reforming","image, remind, message, tiam-ucl"
SMR_CCS,Operation,"hydrogen, gaseous, low pressure","hydrogen production, steam methane reforming, with CCS","image, remind, message, tiam-ucl"
SMR_CCS_PLANT,Construction,"chemical factory, organics","chemical factory construction, organics","image, remind, message, tiam-ucl"
SMR_CCS_TANK,Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics","image, remind, message, tiam-ucl"
SMR_PLANT,Construction,"chemical factory, organics","chemical factory construction, organics","image, remind, message, tiam-ucl"
SMR_TANK,Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics","image, remind, message, tiam-ucl"
SNG,Flow,biogas,market for biogas,"image, remind, message, tiam-ucl"
SNG_COMP_HE,Construction,"air compressor, screw-type compressor, 300kW","air compressor production, screw-type compressor, 300kW","image, remind, message, tiam-ucl"
SNG_COMP_HE,Operation,"natural gas, high pressure","market for natural gas, high pressure","image, remind, message, tiam-ucl"
SNG_COMP_LM,Operation,"natural gas, low pressure","market for natural gas, low pressure","image, remind, message, tiam-ucl"
SNG_COMP_LM,Construction,"air compressor, screw-type compressor, 4kW","air compressor production, screw-type compressor, 4kW","image, remind, message, tiam-ucl"
SNG_COMP_MH,Operation,"natural gas, medium pressure, vehicle grade","market for natural gas, medium pressure, vehicle grade","image, remind, message, tiam-ucl"
SNG_COMP_MH,Construction,"air compressor, screw-type compressor, 300kW","air compressor production, screw-type compressor, 300kW","image, remind, message, tiam-ucl"
SNG_EHP,Resource,biogas,market for biogas,"image, remind, message, tiam-ucl"
SNG_EXP_EH,Operation,"natural gas, high pressure","market for natural gas, high pressure","image, remind, message, tiam-ucl"
