Programming name,Short name,Long name,Category,Subcategory,Set,Unit_ref,,
CROPS_TO_ETHANOL,Crops to Ethanol,Conversion of Crops to Ethanol,Bioprocesses,Synfuel,,kW,,
CROPS_TO_JETFUELS,Crops to Jetfuels,Conversion of Crops to Jet Fuels,Bioprocesses,Synfuel,,kW,,
CUMENE_PROCESS,Cumene Process,Cumene Production Process,Specific sectors,Chemical,,kt/h,,
DAC_HT,DAC HT,Direct Air Capture at High Temperature,CCUS,Capture,,ktCO2_eq/h,,
DAC_LT,DAC LT,Direct Air Capture at Low Temperature,CCUS,Capture,,ktCO2_eq/h,,
DEC_ADVCOGEN_H2,DEC Cogen H2,Decentralized Cogeneration with Hydrogen,Decentralized heating,Cogeneration,,kW,,
DEC_BOILER_BIOGAS,DEC Boiler BioGas,Decentralized Boiler with BioGas Combustion,Decentralized heating,Boiler,,kW,,
DEC_BOILER_BIOOIL,DEC Boiler BioOil,Decentralized Boiler with BioOil Combustion,Decentralized heating,Boiler,,kW,,
DEC_BOILER_GAS,DEC Boiler Gas,Decentralized Boiler with Gas Combustion,Decentralized heating,Boiler,,kW,,
DEC_BOILER_OIL,DEC Boiler Oil,Decentralized Boiler with Oil Combustion,Decentralized heating,Boiler,,kW,,
DEC_BOILER_WOOD,DEC Boiler Wood,Decentralized Boiler with Wood Combustion,Decentralized heating,Boiler,,kW,,
DEC_COGEN_BIOGAS,DEC Cogen BioGas,Decentralized Cogeneration with BioGas Combustion,Decentralized heating,Cogeneration,,kW,,STORAGE_TECH
DEC_COGEN_BIOOIL,DEC Cogen BioOil,Decentralized Cogeneration with BioOil Combustion,Decentralized heating,Cogeneration,,kW,,
DEC_COGEN_GAS,DEC Cogen Gas,Decentralized Cogeneration with Gas Combustion,Decentralized heating,Cogeneration,,kW,,
DEC_COGEN_OIL,DEC Cogen Oil,Decentralized Cogeneration with Oil Combustion,Decentralized heating,Cogeneration,,kW,,
DEC_COGEN_WOOD,DEC Cogen Wood,Decentralized Cogeneration with Wood Combustion,Decentralized heating,Cogeneration,,kW,,
DEC_DIRECT_ELEC,DEC Direct Elec.,Decentralized Direct Electricity,Decentralized heating,Electricity,,kW,,
DEC_HP_ELEC,DEC HP Elec,Decentralized Heat Pump Electricity ,Decentralized heating,Heat Pump,,kW,,
DEC_RENOVATION,DEC Renovation,Decentralized Energy System Renovation,Decentralized heating,Renovation,,kW,,
DEC_SOLAR,DEC Solar,Decentralized Solar Thermal ,Decentralized heating,Solar,,kW,,
DEC_TH_STORAGE,DEC Thermal Storage,Decentralized Thermal Storage,Decentralized heating,Storage,,kW,,
DEC_THHP_BIOGAS,DEC THHP BioGas,Decentralized Thermal BioGas Heat Pump,Decentralized heating,Heat Pump,,kW,,
DEC_THHP_GAS,DEC THHP Gas,Decentralized Thermal Gas Heat Pump,Decentralized heating,Heat Pump,,kW,,
DEEP_SALINE,Deep Saline,Deep Saline Carbon Sequestration,CCUS,Sequestration,,ktCO2_eq/h,,
DHN,DHN,District Heating Network,Infrastructure Grid,Heat,,kW,,
DHN_BOILER_BIOGAS,DHN Boiler BioGas,District Heating Network Boiler with BioGas Combustion,Centalized heating,Boiler,,kW,,
DHN_BOILER_BIOOIL,DHN Boiler BioOil,District Heating Network Boiler with BioOil Combustion,Centalized heating,Boiler,,kW,,
DHN_BOILER_GAS,DHN Boiler Gas,District Heating Network Boiler with Gas Combustion,Centalized heating,Boiler,,kW,,
DHN_BOILER_OIL,DHN Boiler Oil,District Heating Network Boiler with Oil Combustion,Centalized heating,Boiler,,kW,,
DHN_BOILER_WOOD,DHN Boiler Wood,District Heating Network Boiler with Wood Combustion,Centalized heating,Boiler,,kW,,STORAGE_TECH
DHN_COGEN_BIOGAS,DHN Cogen BioGas,District Heating Network Cogeneration with BioGas Combustion,Centalized heating,Cogeneration,,kW,,
DHN_COGEN_GAS,DHN Cogen Gas,District Heating Network Cogeneration with Gas Combustion,Centalized heating,Cogeneration,,kW,,
DHN_COGEN_WASTE,DHN Cogen Waste,District Heating Network Cogeneration with Waste Combustion,Centalized heating,Cogeneration,,kW,,
DHN_COGEN_WASTE_CC,DHN Cogen Waste CC,District Heating Network Cogeneration with Waste Combustion with Carbon Capture,Centalized heating,Cogeneration,,kW,,
DHN_COGEN_WOOD,DHN Cogen Wood,District Heating Network Cogeneration with Wood Combustion,Centalized heating,Cogeneration,,kW,MCHF/GWkm,
