Name,Flow,Amount
CAR_BIODIESEL_B100_MD,CO2_E,0.09041142853390703
CAR_BIODIESEL_B100_MD,MOB_PRIVATE_MD,1.0
CAR_BIODIESEL_B100_SD,BIO_DIESEL,-0.36917999984678707
CAR_BIODIESEL_B100_SD,CO2_E,0.09041142853390703
CAR_BIODIESEL_B100_SD,MOB_PRIVATE_SD,1.0
CAR_BIODIESEL_B20_ELD,BIO_DIESEL,-0.07366857139799832
CAR_BIODIESEL_B20_ELD,CO2_E,0.0895742856771116
CAR_BIODIESEL_B20_ELD,DIESEL,-0.29551142844878875
CAR_BIODIESEL_B20_ELD,MOB_PRIVATE_ELD,1.0
CAR_BIODIESEL_B20_LD,BIO_DIESEL,-0.07366857139799832
CAR_BIODIESEL_B20_LD,CO2_E,0.0895742856771116
CAR_BIODIESEL_B20_LD,DIESEL,-0.29551142844878875
CAR_BIODIESEL_B20_LD,MOB_PRIVATE_LD,1.0
CAR_BIODIESEL_B20_MD,BIO_DIESEL,-0.07366857139799832
CAR_BIODIESEL_B20_MD,CO2_E,0.0895742856771116
CAR_BIODIESEL_B20_MD,DIESEL,-0.29551142844878875
CAR_BIODIESEL_B20_MD,MOB_PRIVATE_MD,1.0
CAR_BIODIESEL_B20_SD,BIO_DIESEL,-0.07366857139799832
CAR_BIODIESEL_B20_SD,CO2_E,0.0895742856771116
CAR_BIODIESEL_B20_SD,DIESEL,-0.29551142844878875
CAR_BIODIESEL_B20_SD,MOB_PRIVATE_SD,1.0
CAR_BIOETOH_E10_ELD,BIO_ETHANOL,-0.044368571410158084
CAR_BIOETOH_E10_ELD,CO2_E,0.103805714242634
CAR_BIOETOH_E10_ELD,GASOLINE,-0.3984799998346273
CAR_BIOETOH_E10_ELD,MOB_PRIVATE_ELD,1.0
CAR_BIOETOH_E10_LD,BIO_ETHANOL,-0.044368571410158084
CAR_BIOETOH_E10_LD,CO2_E,0.103805714242634
CAR_BIOETOH_E10_LD,GASOLINE,-0.3984799998346273
CAR_BIOETOH_E10_LD,MOB_PRIVATE_LD,1.0
CAR_BIOETOH_E10_MD,BIO_ETHANOL,-0.044368571410158084
CAR_BIOETOH_E10_MD,CO2_E,0.103805714242634
CAR_BIOETOH_E10_MD,GASOLINE,-0.3984799998346273
CAR_BIOETOH_E10_MD,MOB_PRIVATE_MD,1.0
CAR_BIOETOH_E10_SD,BIO_ETHANOL,-0.044368571410158084
CAR_BIOETOH_E10_SD,CO2_E,0.103805714242634
CAR_BIOETOH_E10_SD,GASOLINE,-0.3984799998346273
CAR_BIOETOH_E10_SD,MOB_PRIVATE_SD,1.0
CAR_BIOETOH_E85_ELD,BIO_ETHANOL,-0.376714285557946
CAR_BIOETOH_E85_ELD,CO2_E,0.09543428567467965
CAR_BIOETOH_E85_ELD,GASOLINE,-0.0661342856868394
CAR_BIOETOH_E85_ELD,MOB_PRIVATE_ELD,1.0
CAR_BIOETOH_E85_LD,BIO_ETHANOL,-0.376714285557946
CAR_BIOETOH_E85_LD,CO2_E,0.09543428567467965
